epoch,step,train_loss_epoch,train_loss_step,val_loss
40,81,0.6447409391403198,,
41,83,,,0.6478195786476135
41,83,0.6426945924758911,,
42,85,,,0.6462683081626892
42,85,0.6403874754905701,,
43,87,,,0.6446651816368103
43,87,0.6381030678749084,,
44,89,,,0.6430219411849976
44,89,0.6357143521308899,,
45,91,,,0.6413218379020691
45,91,0.6331967711448669,,
46,93,,,0.6396002173423767
46,93,0.6306798458099365,,
47,95,,,0.6378440260887146
47,95,0.6280545592308044,,
48,97,,,0.6360180974006653
48,97,0.6253858208656311,,
49,99,,0.6099920272827148,
49,99,,,0.6342178583145142
49,99,0.6225783228874207,,
50,101,,,0.6323674917221069
50,101,0.6198627948760986,,
51,103,,,0.6304498314857483
51,103,0.6168093085289001,,
52,105,,,0.628491997718811
52,105,0.6138357520103455,,
53,107,,,0.6265753507614136
53,107,0.6108121275901794,,
54,109,,,0.6246092915534973
54,109,0.6076288223266602,,
55,111,,,0.6226407885551453
55,111,0.6043951511383057,,
56,113,,,0.6206344962120056
56,113,0.6010506749153137,,
57,115,,,0.6185920834541321
57,115,0.5977896451950073,,
58,117,,,0.6165744662284851
58,117,0.5945013761520386,,
59,119,,,0.6145516633987427
59,119,0.5908931493759155,,
60,121,,,0.6125115752220154
60,121,0.5871466994285583,,
61,123,,,0.6105021238327026
61,123,0.5837284922599792,,
62,125,,,0.6085136532783508
62,125,0.5798309445381165,,
63,127,,,0.6065171957015991
63,127,0.5760391354560852,,
64,129,,,0.6046525239944458
64,129,0.5723531246185303,,
65,131,,,0.602748453617096
65,131,0.5684400796890259,,
66,133,,,0.6008548140525818
66,133,0.564647912979126,,
67,135,,,0.5990350246429443
67,135,0.560684323310852,,
68,137,,,0.5973361134529114
68,137,0.5566524863243103,,
69,139,,,0.5956045985221863
69,139,0.5527492761611938,,
70,141,,,0.5940806269645691
70,141,0.5482434630393982,,
71,143,,,0.5926010608673096
71,143,0.5446177124977112,,
72,145,,,0.591238796710968
72,145,0.5400450229644775,,
73,147,,,0.5899855494499207
73,147,0.5363523364067078,,
74,149,,0.5023617148399353,
74,149,,,0.5887815356254578
74,149,0.532079815864563,,
75,151,,,0.5876487493515015
75,151,0.5281258821487427,,
76,153,,,0.5866507291793823
76,153,0.5237557888031006,,
77,155,,,0.5858082175254822
77,155,0.5194491744041443,,
78,157,,,0.5851279497146606
78,157,0.5151764154434204,,
79,159,,,0.5846313238143921
79,159,0.5107444524765015,,
80,161,,,0.5843487977981567
80,161,0.5067028403282166,,
81,163,,,0.5840733051300049
81,163,0.5023089051246643,,
82,165,,,0.5841597318649292
82,165,0.49777090549468994,,
83,167,,,0.5843297839164734
83,167,0.4929889142513275,,
84,169,,,0.5849471688270569
84,169,0.48822882771492004,,
85,171,,,0.5857954621315002
85,171,0.4836626946926117,,
86,173,,,0.5867784023284912
86,173,0.47877469658851624,,
87,175,,,0.5883039832115173
87,175,0.4735924303531647,,
88,177,,,0.5903695821762085
88,177,0.46868520975112915,,
89,179,,,0.5931562185287476
89,179,0.46342822909355164,,
90,181,,,0.5962895750999451
90,181,0.45772501826286316,,
91,183,,,0.6003527045249939
91,183,0.45218464732170105,,
