epoch,step,train_loss_epoch,train_loss_step,val_loss
0,1,,,0.6883097887039185
0,1,0.6979495882987976,,
1,3,,,0.6875973343849182
1,3,0.696823239326477,,
2,5,,,0.6868928670883179
2,5,0.6958640813827515,,
3,7,,,0.6861732006072998
3,7,0.6948803067207336,,
4,9,,,0.68546062707901
4,9,0.6938956379890442,,
5,11,,,0.6847637891769409
5,11,0.692923367023468,,
6,13,,,0.6840590238571167
6,13,0.6919578313827515,,
7,15,,,0.6833473443984985
7,15,0.690905749797821,,
8,17,,,0.6826177835464478
8,17,0.6899615526199341,,
9,19,,,0.6818826198577881
9,19,0.6889144778251648,,
10,21,,,0.6811553239822388
10,21,0.6879453063011169,,
11,23,,,0.6804224252700806
11,23,0.6870008111000061,,
12,25,,,0.6796880960464478
12,25,0.6859765648841858,,
13,27,,,0.6789297461509705
13,27,0.6849536299705505,,
14,29,,,0.678146481513977
14,29,0.6838828921318054,,
15,31,,,0.6773599982261658
15,31,0.6828332543373108,,
16,33,,,0.6765557527542114
16,33,0.6817761659622192,,
17,35,,,0.6757386922836304
17,35,0.680651068687439,,
18,37,,,0.6748895645141602
18,37,0.6794994473457336,,
19,39,,,0.6740157008171082
19,39,0.6783530116081238,,
20,41,,,0.6731399893760681
20,41,0.6772165894508362,,
21,43,,,0.6722202897071838
21,43,0.6759764552116394,,
22,45,,,0.6712915301322937
22,45,0.6747283935546875,,
23,47,,,0.6703187823295593
23,47,0.6734690070152283,,
24,49,,0.6779308915138245,
24,49,,,0.669331967830658
24,49,0.6721636652946472,,
25,51,,,0.6683107614517212
25,51,0.6707796454429626,,
26,53,,,0.6672666072845459
26,53,0.6693782806396484,,
27,55,,,0.6661825180053711
27,55,0.6679607629776001,,
28,57,,,0.6650741696357727
28,57,0.6664403080940247,,
29,59,,,0.663940966129303
29,59,0.664979875087738,,
30,61,,,0.6627576351165771
30,61,0.6633333563804626,,
31,63,,,0.6615652441978455
31,63,0.6618222594261169,,
32,65,,,0.6603453755378723
32,65,0.6600515842437744,,
33,67,,,0.6590639352798462
33,67,0.6584621667861938,,
34,69,,,0.6577690243721008
34,69,0.6564890742301941,,
35,71,,,0.6564209461212158
35,71,0.6547841429710388,,
36,73,,,0.6550788879394531
36,73,0.6529347896575928,,
37,75,,,0.6536788940429688
37,75,0.6510237455368042,,
38,77,,,0.65228670835495
38,77,0.6489795446395874,,
39,79,,,0.6508491039276123
39,79,0.6469451785087585,,
40,81,,,0.6493569016456604
